"type","latitude","longitude","city","province","region"
"mug",50.9571509,5.5177577,"Genk","Limburg","Flanders"
"mug",51.1023283,5.7677152,"Maaseik","Limburg","Flanders"
"mug",50.7891048,5.4835592,"Tongeren","Limburg","Flanders"
"mug",51.2121818,5.4170402,"Pelt","Limburg","Flanders"
"mug",50.7367054,4.2258719,"Halle","Flemish Brabant","Flanders"
"mug",50.8790552,4.6717377,"Leuven","Flemish Brabant","Flanders"
"mug",50.9282828,4.4177153,"Vilvoorde","Flemish Brabant","Flanders"
"mug",50.811307,4.9331354,"Tienen","Flemish Brabant","Flanders"
"mug",50.9872493,5.051485,"Diest","Flemish Brabant","Flanders"
"mug",50.8712722,4.3866584,"Schaerbeek","Brussels","Brussels"
"mug",50.8135115,4.2658168,"Anderlecht","Brussels","Brussels"
"mug",50.8343389,4.3471366,"Bruxelles","Brussels","Brussels"
"mug",50.8526308,4.4523835,"Woluwe-Saint-Lambert","Brussels","Brussels"
"mug",50.8050334,4.3686235,"Uccle","Brussels","Brussels"
"mug",50.8878137,4.308604,"Jette","Brussels","Brussels"
"mug",50.8543172,4.3603786,"Bruxelles","Brussels","Brussels"
"mug",50.8162718,4.3999005,"Auderghem","Brussels","Brussels"
"mug",50.8251858,4.3787626,"Ixelles","Brussels","Brussels"
"mug",50.667795,4.5609799,"Ottignies-Louvain-la-Neuve","Walloon Brabant","Wallonia"
"mug",50.5953543,4.3177933,"Nivelles","Walloon Brabant","Wallonia"
"mug",50.6855343,4.3683611,"Braine-l'Alleud","Walloon Brabant","Wallonia"
"mug",50.4575635,3.9630702,"Mons","Hainaut","Wallonia"
"mug",50.4542577,3.9600001,"Mons","Hainaut","Wallonia"
"mug",50.4739672,4.4279237,"Charleroi","Hainaut","Wallonia"
"mug",50.477916,4.2076091,"La Louvière","Hainaut","Wallonia"
"mug",50.4777496,4.2153974,"La Louvière","Hainaut","Wallonia"
"mug",50.4365653,3.8305237,"Boussu","Hainaut","Wallonia"
"mug",50.417594,3.8063078,"Boussu","Hainaut","Wallonia"
"mug",50.5998267,3.3843877,"Tournai","Hainaut","Wallonia"
"mug",50.7487864,3.2210483,"Mouscron","Hainaut","Wallonia"
"mug",50.6345789,3.776255,"Ath","Hainaut","Wallonia"
"mug",50.4179153,4.4539194,"Charleroi","Hainaut","Wallonia"
"mug",50.5814778,4.0794672,"Soignies","Hainaut","Wallonia"
"mug",50.0448272,4.3101873,"Chimay","Hainaut","Wallonia"
"mug",50.359916,4.3687689,"Montigny-le-Tilleul","Hainaut","Wallonia"
