"type","public","latitude","longitude","city","province","region"
"unknown",NA,50.8373402,4.3620385,"Brussel","Brussels","Brussels"
"unknown",NA,50.858916,4.405372,"Brussel","Brussels","Brussels"
"unknown",NA,50.8701412,4.3434367,"Brussel","Brussels","Brussels"
"unknown",NA,50.6440077,5.5714208,"Liège","Liege","Wallonia"
"unknown",NA,50.8553066,4.728376,"Leuven","Flemish Brabant","Flanders"
"unknown",NA,50.9820853,3.5291342,"Deinze","East Flanders","Flanders"
"unknown",NA,50.8553066,4.728376,"Leuven","Flemish Brabant","Flanders"
"unknown",NA,50.8493559,4.3474893,"Brussel","Brussels","Brussels"
"unknown",NA,50.8273392,4.3432866,"Brussel","Brussels","Brussels"
"unknown",NA,50.4546536,4.3817215,"Courcelles","Hainaut","Wallonia"
"unknown",NA,50.5990321,4.3539734,"Nivelles","Walloon Brabant","Wallonia"
"unknown",NA,50.7821381,5.4703028,"Tongeren","Limburg","Flanders"
"unknown",NA,51.1967214,4.4814868,"BorsbeekAntw.)","Antwerp","Flanders"
"unknown",NA,51.2162391,4.4033343,"Antwerpen","Antwerp","Flanders"
"unknown",NA,50.9884109,5.6916653,"Maasmechelen","Limburg","Flanders"
"unknown",NA,50.8238652,4.2986584,"Brussel","Brussels","Brussels"
"unknown",NA,50.8562428,4.3571451,"Brussel","Brussels","Brussels"
"unknown",NA,50.9009924,3.4038257,"Waregem","West Flanders","Flanders"
"unknown",NA,50.8626097,4.3316149,"Brussel","Brussels","Brussels"
"unknown",NA,50.4250165,4.9267626,"Namur","Namur","Wallonia"
"unknown",NA,51.0375876,4.1273673,"Dendermonde","East Flanders","Flanders"
"unknown",NA,50.8207084,4.3694581,"Brussel","Brussels","Brussels"
"unknown",NA,50.8520978,4.3549951,"Brussel","Brussels","Brussels"
"unknown",NA,50.40559,4.45033,"Charleroi","Hainaut","Wallonia"
"unknown",NA,50.3991852,4.4229721,"Mont-sur-Marchienne","Hainaut","Wallonia"
"unknown",NA,50.8452756,4.3593619,"Brussel","Brussels","Brussels"
"unknown",NA,51.046071,3.7268916,"Gent","East Flanders","Flanders"
"unknown",NA,49.6829989,5.7998714,"Arlon","Luxembourg","Wallonia"
"unknown",NA,50.8135279,3.2480254,"Kortrijk","West Flanders","Flanders"
"unknown",NA,50.9018866,4.3084272,"Wemmel","Flemish Brabant","Flanders"
"unknown",NA,51.3226791,4.9509073,"Turnhout","Antwerp","Flanders"
"unknown",NA,50.8476424,4.3571696,"Brussel","Brussels","Brussels"
"unknown",NA,50.9892415,3.7514758,"Merelbeke","East Flanders","Flanders"
"unknown",NA,50.8704756,4.3618896,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.6175969,5.4951966,"Jemeppe-sur-Meuse","Liege","Wallonia"
"unknown",NA,51.0227642,3.7473576,"Merelbeke","East Flanders","Flanders"
"unknown",NA,50.7337087,4.6461277,"Grez-Doiceau","Walloon Brabant","Wallonia"
"unknown",NA,51.1177769,4.3757073,"Schelle","Antwerp","Flanders"
"unknown",NA,50.8432362,4.3863115,"Brussel","Brussels","Brussels"
"unknown",NA,51.1581037,4.1561976,"Sint-Niklaas","East Flanders","Flanders"
"unknown",NA,50.9641576,3.1198911,"Roeselare","West Flanders","Flanders"
"unknown",NA,50.8214447,4.4072675,"Brussel","Brussels","Brussels"
"unknown",NA,50.4486589,3.903533,"Jemappes","Hainaut","Wallonia"
"unknown",NA,50.9295471,4.065274,"Aalst","East Flanders","Flanders"
"unknown",NA,50.9363019,4.0349729,"Aalst","East Flanders","Flanders"
"unknown",NA,50.8795773,4.7056545,"Leuven","Flemish Brabant","Flanders"
"unknown",NA,50.4851641,4.1606647,"La","Hainaut","Wallonia"
"unknown",NA,50.4491248,3.9382634,"Mons","Hainaut","Wallonia"
"unknown",NA,51.0050872,3.7513288,"Merelbeke","East Flanders","Flanders"
"unknown",NA,50.7154621,4.6087741,"Wavre","Walloon Brabant","Wallonia"
"unknown",NA,50.5523958,4.0998369,"Naast","Hainaut","Wallonia"
"unknown",NA,50.5961247,5.8759894,"Verviers","Liege","Wallonia"
"unknown",NA,50.7908125,4.2804528,"Sint-Pieters-Leeuw","Flemish Brabant","Flanders"
"unknown",NA,51.0480006,3.6925469,"Gent","East Flanders","Flanders"
"unknown",NA,50.7946656,4.3201982,"Brussel","Brussels","Brussels"
"unknown",NA,50.0019274,5.6912858,"Bastogne","Luxembourg","Wallonia"
"unknown",NA,51.0375015,3.7484305,"LedebergGent)","East Flanders","Flanders"
"unknown",NA,50.9459076,3.125516,"Roeselare","West Flanders","Flanders"
"unknown",NA,49.6225274,5.8106247,"Messancy","Luxembourg","Wallonia"
"unknown",NA,50.8498302,2.8830081,"Ieper","West Flanders","Flanders"
"unknown",NA,50.6055375,3.3908455,"Tournai","Hainaut","Wallonia"
"unknown",NA,50.448566,4.4345154,"JumetCharleroi)","Hainaut","Wallonia"
"unknown",NA,50.8452344,4.417218,"Brussel","Brussels","Brussels"
"unknown",NA,51.1966658,3.219628,"Brugge","West Flanders","Flanders"
"unknown",NA,51.1836404,4.3704733,"Hoboken","Antwerp","Flanders"
"unknown",NA,50.824958,4.3659367,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.8180094,4.3095592,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.6804643,4.3983376,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.5810391,4.0760551,"Soignies","Hainaut","Wallonia"
"unknown",NA,50.5810391,4.0760551,"Soignies","Hainaut","Wallonia"
"unknown",NA,50.5810391,4.0760551,"Soignies","Hainaut","Wallonia"
"unknown",NA,50.5810391,4.0760551,"Soignies","Hainaut","Wallonia"
"unknown",NA,50.2134258,5.3618183,"Hollogne-aux-Pierres","Luxembourg","Wallonia"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
